start,end,min
3/28/14 16:27,3/28/14 13:26,181
3/12/14 10:31,3/11/14 16:20,1091
3/12/14 10:37,3/11/14 15:27,1150
3/12/14 10:50,3/11/14 14:46,1204
3/6/14 16:01,3/6/14 8:05,476
3/12/14 10:49,3/11/14 13:39,1270
3/6/14 16:04,3/6/14 9:35,389
3/28/14 16:21,3/28/14 13:42,159
3/28/14 16:15,3/28/14 13:57,138
3/13/14 8:12,3/11/14 12:34,2618
3/13/14 8:15,3/11/14 13:17,2578
3/12/14 10:45,3/11/14 10:56,1429
3/11/14 8:15,3/10/14 13:45,1110
3/30/14 15:12,3/30/14 13:16,116
3/30/14 12:21,3/30/14 11:46,35
3/28/14 16:32,3/28/14 13:31,181
3/28/14 15:56,3/28/14 13:42,134
3/6/14 16:11,3/6/14 10:05,366
3/12/14 10:29,3/11/14 17:37,1012
3/28/14 16:09,3/28/14 10:27,342
3/23/14 12:42,3/22/14 15:19,1283
3/14/14 17:41,3/14/14 13:35,246
3/15/14 15:40,3/15/14 9:13,387
3/15/14 15:32,3/14/14 18:04,1288
3/14/14 17:48,3/14/14 18:20,-32
3/14/14 17:50,3/14/14 18:06,-16
3/14/14 17:45,3/14/14 16:37,68
3/14/14 17:01,3/14/14 16:32,29
3/14/14 17:02,3/14/14 16:46,16
3/14/14 17:12,3/14/14 14:08,184
3/14/14 17:09,3/14/14 14:27,162
3/15/14 15:34,3/15/14 9:32,362
3/14/14 17:08,3/14/14 13:55,193
3/6/14 16:48,3/6/14 11:20,328
3/14/14 17:38,3/14/14 13:22,256
3/14/14 17:15,3/14/14 12:21,294
3/14/14 17:16,3/14/14 12:12,304
3/14/14 17:14,3/14/14 13:36,218
3/14/14 17:03,3/14/14 13:14,229
3/14/14 17:37,3/14/14 12:03,334
3/14/14 17:18,3/14/14 11:42,336
3/14/14 17:20,3/14/14 11:02,378
3/4/14 9:25,3/3/14 15:10,1095
3/15/14 15:28,3/15/14 9:19,369
3/15/14 15:31,3/15/14 8:38,413
3/15/14 15:27,3/15/14 10:53,274
3/17/14 7:42,3/16/14 15:33,969
3/9/14 12:36,3/8/14 15:42,1254
3/17/14 7:39,3/16/14 14:58,1001
3/17/14 7:29,3/16/14 13:42,1067
3/17/14 7:30,3/16/14 14:22,1028
3/16/14 12:40,3/16/14 12:48,-8
3/16/14 12:51,3/16/14 11:09,102
3/16/14 12:43,3/16/14 11:25,78
3/16/14 12:47,3/16/14 10:33,134
3/16/14 12:51,3/16/14 8:49,242
3/16/14 12:45,3/16/14 9:44,181
3/6/14 16:54,3/6/14 10:45,369
3/15/14 15:14,3/15/14 14:31,43
3/15/14 15:36,3/15/14 13:55,101
3/18/14 9:23,3/15/14 13:37,4066
3/15/14 15:38,3/15/14 13:37,121
3/15/14 15:39,3/15/14 13:21,138
3/15/14 15:15,3/15/14 14:13,62
3/15/14 15:18,3/15/14 13:10,128
3/15/14 15:23,3/15/14 10:51,272
3/15/14 15:24,3/15/14 10:29,295
3/14/14 17:06,3/14/14 11:11,355
3/14/14 17:39,3/14/14 10:55,404
3/14/14 17:25,3/14/14 10:07,438
3/14/14 17:27,3/14/14 10:51,396
3/12/14 10:33,3/11/14 14:38,1195
3/12/14 10:47,3/11/14 14:27,1220
3/6/14 16:38,3/6/14 12:38,240
3/12/14 10:41,3/11/14 13:57,1244
3/12/14 10:48,3/11/14 10:20,1468
3/13/14 8:14,3/11/14 13:41,2553
3/13/14 7:52,3/12/14 9:36,1336
3/12/14 10:42,3/11/14 8:51,1551
3/12/14 10:51,3/11/14 8:38,1573
3/6/14 15:43,3/6/14 13:34,129
3/6/14 15:42,3/6/14 14:45,57
3/6/14 16:24,3/6/14 12:08,256
3/6/14 16:21,3/6/14 12:26,235
3/6/14 16:25,3/6/14 15:37,48
3/7/14 10:33,3/6/14 17:34,1019
3/11/14 8:19,3/10/14 11:12,1267
3/11/14 8:15,3/10/14 11:00,1275
3/11/14 8:20,3/10/14 10:49,1291
3/7/14 16:08,3/7/14 14:06,122
3/9/14 12:39,3/7/14 17:26,2593
3/9/14 12:35,3/8/14 9:59,1596
3/12/14 10:34,3/11/14 16:10,1104
3/17/14 7:46,3/16/14 16:08,938
3/12/14 10:27,3/11/14 18:29,958
3/13/14 8:02,3/12/14 11:37,1225
3/14/14 17:21,3/14/14 10:27,414
3/14/14 17:05,3/14/14 10:03,422
3/14/14 17:28,3/14/14 8:22,546
3/14/14 17:29,3/14/14 8:54,515
3/6/14 16:30,3/6/14 11:46,284
3/14/14 17:36,3/14/14 9:12,504
3/14/14 17:04,3/14/14 8:50,494
3/14/14 17:32,3/13/14 17:26,1446
3/14/14 17:34,3/13/14 16:30,1504
3/13/14 15:51,3/13/14 13:57,114
3/13/14 15:36,3/13/14 13:47,109
3/13/14 15:12,3/13/14 13:22,110
3/13/14 15:18,3/13/14 11:11,247
3/13/14 15:40,3/13/14 10:49,291
3/13/14 15:04,3/13/14 9:57,307
3/13/14 14:55,3/13/14 9:28,327
3/13/14 15:14,3/13/14 9:52,322
3/13/14 8:21,3/12/14 18:54,807
3/13/14 8:23,3/12/14 16:57,926
3/13/14 7:44,3/12/14 16:10,934
3/13/14 7:54,3/12/14 15:12,1002
3/13/14 8:04,3/12/14 11:24,1240
3/18/14 8:15,3/17/14 9:52,1343
3/17/14 7:27,3/16/14 15:02,985
3/18/14 8:23,3/17/14 10:41,1302
3/18/14 8:16,3/17/14 9:31,1365
3/20/14 15:39,3/20/14 12:52,167
3/20/14 15:37,3/20/14 13:29,128
3/20/14 16:41,3/20/14 14:14,147
3/20/14 16:30,3/20/14 14:35,115
3/21/14 9:39,3/20/14 14:50,1129
3/20/14 16:43,3/20/14 15:38,65
3/20/14 16:28,3/20/14 15:59,29
3/20/14 16:25,3/20/14 16:39,-14
3/20/14 16:49,3/20/14 16:33,16
3/20/14 16:42,3/20/14 16:01,41
3/21/14 9:24,3/20/14 17:49,935
3/21/14 9:40,3/20/14 17:40,960
3/23/14 12:48,3/21/14 9:18,3090
3/21/14 9:41,3/21/14 9:20,21
3/23/14 12:52,3/21/14 8:47,3125
3/23/14 12:53,3/21/14 10:37,3016
3/21/14 14:17,3/21/14 11:47,150
3/20/14 16:40,3/20/14 12:24,256
3/23/14 12:46,3/21/14 17:06,2620
4/1/14 9:06,3/31/14 18:12,894
3/23/14 12:41,3/22/14 14:32,1329
3/25/14 7:55,3/24/14 9:39,1336
3/25/14 7:57,3/24/14 10:46,1271
3/25/14 7:55,3/24/14 10:55,1260
3/25/14 7:59,3/24/14 13:43,1096
3/25/14 8:05,3/24/14 13:06,1139
3/26/14 10:39,3/25/14 10:35,1444
3/26/14 11:04,3/25/14 11:46,1398
3/26/14 11:08,3/25/14 12:53,1335
3/26/14 11:08,3/25/14 13:09,1319
3/1/14 15:12,3/1/14 9:06,366
3/2/14 16:03,3/2/14 8:55,428
3/2/14 16:08,3/2/14 14:49,79
3/2/14 16:30,3/2/14 16:12,18
3/4/14 9:20,3/3/14 9:46,1414
3/2/14 16:06,3/2/14 13:41,145
3/2/14 16:13,3/2/14 10:09,364
3/23/14 12:43,3/22/14 8:50,1673
3/20/14 15:42,3/20/14 12:22,200
3/20/14 16:33,3/20/14 12:42,231
3/18/14 8:25,3/17/14 12:54,1171
3/20/14 16:23,3/20/14 10:39,344
3/20/14 15:51,3/20/14 10:36,315
3/20/14 15:47,3/20/14 10:09,338
3/4/14 9:27,3/3/14 11:51,1296
3/20/14 15:43,3/20/14 11:43,240
3/20/14 15:52,3/20/14 10:38,314
3/6/14 16:02,3/6/14 8:17,465
3/20/14 16:35,3/20/14 11:43,292
3/20/14 15:59,3/20/14 9:50,369
3/20/14 16:36,3/20/14 9:09,447
3/20/14 16:05,3/20/14 8:39,446
3/20/14 16:39,3/20/14 10:22,377
3/6/14 16:13,3/6/14 10:12,361
3/6/14 16:07,3/6/14 9:28,399
3/20/14 15:49,3/19/14 15:07,1482
3/18/14 8:25,3/17/14 14:02,1103
3/18/14 8:19,3/17/14 10:50,1289
3/4/14 9:21,3/3/14 12:13,1268
3/4/14 9:33,3/3/14 16:19,1034
3/18/14 8:24,3/17/14 12:01,1223
3/4/14 9:28,3/3/14 13:13,1215
3/4/14 9:23,3/3/14 9:23,1440
3/20/14 15:34,3/20/14 11:24,250
3/20/14 16:03,3/20/14 9:49,374
